GSM1275862,GSM1275863,GSM1275866,GSM1275867
ENSG00000284616,0,0,0,0
ENSG00000260972,0,0,0,0
ENSG00000229280,0,0,0,0
ENSG00000232596,0,0,0,0
ENSG00000231510,0,0,0,0
ENSG00000272235,5,6,0,2
ENSG00000284694,0,0,0,0
ENSG00000224387,0,0,2,0
ENSG00000284674,0,0,0,0
ENSG00000224338,0,0,0,0
ENSG00000287727,4,9,0,0
ENSG00000215720,0,0,0,0
ENSG00000225931,3,0,2,0
ENSG00000229393,0,0,0,2
ENSG00000287586,0,0,0,0
ENSG00000227169,0,0,0,0
ENSG00000283356,0,0,0,0
ENSG00000225387,0,0,0,0
ENSG00000225196,0,1,0,0
ENSG00000279625,0,0,0,0
ENSG00000285833,0,0,0,0
ENSG00000280222,0,0,0,0
ENSG00000285945,0,0,0,0
ENSG00000284666,0,0,0,0
ENSG00000234397,0,0,0,0
ENSG00000233419,2,0,0,0
ENSG00000225011,1,0,2,0
ENSG00000284676,0,0,0,0
ENSG00000270927,0,0,0,0
ENSG00000230523,0,0,0,0
ENSG00000233234,0,0,0,0
ENSG00000189337,1262,846,1418,502
ENSG00000283259,0,0,0,0
ENSG00000175147,6,12,32,3
ENSG00000230214,0,0,0,0
ENSG00000272420,5,4,8,7
ENSG00000236648,0,0,0,0
ENSG00000232273,3,3,2,1
ENSG00000227527,3,3,2,2
ENSG00000230163,0,0,0,0
ENSG00000215895,161,122,144,69
ENSG00000274944,4,1,0,0
ENSG00000272078,0,0,0,0
ENSG00000230451,0,0,0,0
ENSG00000231606,1,12,5,8
ENSG00000254553,0,0,0,0
ENSG00000284653,0,0,0,0
ENSG00000237749,9,4,27,4
ENSG00000276747,0,0,0,0
ENSG00000261781,0,0,0,0
ENSG00000224751,2,5,3,4
ENSG00000230585,0,0,0,0
ENSG00000284989,0,0,0,0
ENSG00000231630,0,0,0,0
ENSG00000255811,0,0,0,0
ENSG00000225671,89,61,126,59
ENSG00000236111,64,93,50,31
ENSG00000236723,3,2,6,2
ENSG00000232467,12,12,14,6
ENSG00000237130,0,0,0,0
ENSG00000232335,0,0,0,0
ENSG00000232762,1,0,0,0
ENSG00000284686,2,4,5,1
ENSG00000259818,2,0,2,0
ENSG00000234318,0,0,0,0
ENSG00000227485,0,0,0,0
ENSG00000236646,11,13,24,11
ENSG00000228929,4848,4639,5342,2656
ENSG00000224570,0,0,2,0
ENSG00000224980,0,0,0,0
ENSG00000278967,0,0,2,0
ENSG00000233910,0,0,0,0
ENSG00000287703,0,0,0,0
ENSG00000283039,0,0,0,0
ENSG00000229294,0,0,0,0
ENSG00000236973,0,0,0,0
ENSG00000277397,11,5,18,3
ENSG00000275350,0,0,0,0
ENSG00000285778,0,0,0,0
ENSG00000233407,0,0,0,0
ENSG00000280317,0,0,0,0
ENSG00000233994,471,370,465,281
ENSG00000227556,0,0,0,0
ENSG00000285954,0,0,0,0
ENSG00000233333,0,0,0,0
ENSG00000234108,0,0,1,0
ENSG00000232676,88,108,153,99
ENSG00000213579,0,1,0,0
ENSG00000237852,0,0,0,0
ENSG00000270549,2,0,0,0
ENSG00000237163,0,0,0,0
ENSG00000229636,0,0,0,0
ENSG00000233664,0,0,0,0
ENSG00000213703,2,0,0,0
ENSG00000234144,0,0,0,0
ENSG00000277670,0,0,0,0
ENSG00000227466,0,0,0,0
ENSG00000230498,0,0,0,0
ENSG00000224493,0,0,0,0
ENSG00000131233,2,3,2,0
ENSG00000229225,0,0,0,0
ENSG00000225598,0,0,0,0
ENSG00000286548,0,0,2,0
ENSG00000272094,0,0,0,0
ENSG00000228853,0,0,0,0
ENSG00000288543,1,0,0,0
ENSG00000226084,4687,4133,4531,2236
ENSG00000229332,0,0,0,1
ENSG00000227937,0,0,0,0
ENSG00000229752,0,0,1,0
ENSG00000233216,0,0,0,0
ENSG00000226804,0,0,0,0
ENSG00000230728,0,0,0,0
ENSG00000232846,0,0,0,0
ENSG00000230787,166,105,238,64
ENSG00000285473,0,0,0,0
ENSG00000234578,0,0,0,0
ENSG00000229505,0,0,0,0
ENSG00000228187,38,46,46,31
ENSG00000236407,0,0,0,0
ENSG00000271949,0,0,0,0
ENSG00000227062,0,0,0,0
ENSG00000235011,0,0,0,0
ENSG00000213559,0,0,0,0
ENSG00000232882,35,55,88,80
ENSG00000226960,0,0,0,0
ENSG00000234080,8,2,4,7
ENSG00000285409,0,0,0,0
ENSG00000271723,0,0,0,0
ENSG00000225191,0,0,0,0
ENSG00000287870,4,2,2,0
ENSG00000232048,0,0,0,0
ENSG00000232857,0,0,0,0
ENSG00000273637,0,0,0,0
ENSG00000228838,0,0,2,0
ENSG00000283761,7,5,2,1
ENSG00000233514,154,169,227,102
ENSG00000266993,6,16,23,15
ENSG00000229316,0,0,0,0
ENSG00000234099,0,0,0,0
ENSG00000232752,0,0,0,0
ENSG00000235829,0,0,1,1
ENSG00000280040,4,0,0,0
ENSG00000238037,0,0,0,0
ENSG00000227935,0,0,0,0
ENSG00000228502,1382,1308,529,498
ENSG00000271277,0,0,0,0
ENSG00000236888,0,0,0,0
ENSG00000230828,0,0,0,0
ENSG00000233129,0,0,0,0
ENSG00000237897,95,80,81,53
ENSG00000286692,0,0,0,0
ENSG00000260464,12,7,22,3
ENSG00000231996,0,0,0,0
ENSG00000287756,0,2,0,0
ENSG00000284652,8,5,6,4
ENSG00000228399,906,782,569,483
ENSG00000236776,0,4,1,2
ENSG00000271252,0,0,0,0
ENSG00000235794,0,0,0,0
ENSG00000233983,0,0,0,0
ENSG00000232918,0,0,0,0
ENSG00000183298,0,0,0,0
ENSG00000162699,0,0,0,0
ENSG00000203914,868,665,1763,589
ENSG00000270457,2,0,8,3
ENSG00000231987,0,0,0,0
ENSG00000229842,0,0,0,0
ENSG00000233482,0,0,0,0
ENSG00000232450,15,16,19,21
ENSG00000235038,0,0,0,0
ENSG00000279513,8,0,1,2
ENSG00000225923,0,0,0,0
ENSG00000223416,4,2,0,2
ENSG00000179571,0,0,0,0
ENSG00000227850,520,373,493,358
ENSG00000285532,0,1,2,0
ENSG00000226755,0,0,0,0
ENSG00000277095,0,0,0,0
ENSG00000264145,0,0,0,0
ENSG00000238256,0,0,0,0
ENSG00000223489,1,0,0,0
ENSG00000230546,0,0,0,0
ENSG00000213262,0,0,0,0
ENSG00000287015,0,0,0,0
ENSG00000235526,0,0,0,0
ENSG00000228347,101,62,8,5
ENSG00000236012,1,0,0,2
ENSG00000134200,0,0,0,0
ENSG00000226126,0,0,0,0
ENSG00000228453,0,0,0,0
ENSG00000261168,0,8,2,4
ENSG00000233432,23,26,29,7
ENSG00000229911,0,0,0,0
ENSG00000270719,0,0,0,0
ENSG00000234422,4,3,6,1
ENSG00000227091,0,0,0,0
ENSG00000230932,0,0,0,0
ENSG00000225036,0,0,0,0
ENSG00000250890,0,0,0,0
ENSG00000232240,0,0,0,0
ENSG00000234388,0,0,0,0
ENSG00000233717,0,0,0,0
ENSG00000270976,0,0,0,0
ENSG00000228217,120,139,146,116
ENSG00000270342,0,0,0,0
ENSG00000235887,0,0,0,0
ENSG00000235756,0,0,0,0
ENSG00000173810,0,0,0,0
ENSG00000271890,0,0,0,0
ENSG00000227970,0,0,0,0
ENSG00000231613,1,0,0,0
ENSG00000236689,0,0,0,0
ENSG00000226028,0,0,0,0
ENSG00000203825,0,0,0,0
ENSG00000233449,0,0,0,0
ENSG00000242943,0,0,0,0
ENSG00000232499,358,354,402,217
ENSG00000232995,21,13,22,10
ENSG00000238087,0,0,0,0
ENSG00000271092,0,0,0,0
ENSG00000232148,0,0,0,0
ENSG00000232952,586,448,677,335
ENSG00000260322,0,0,0,0
ENSG00000225462,25,15,48,23
ENSG00000237756,1,0,0,0
ENSG00000271187,0,0,0,0
ENSG00000231175,0,0,0,0
ENSG00000272931,0,1,0,2
ENSG00000225475,0,0,0,0
ENSG00000232223,0,0,0,0
ENSG00000224468,32,55,45,41
ENSG00000232551,0,0,0,0
ENSG00000238270,0,0,0,0
ENSG00000236025,0,0,0,0
ENSG00000230704,0,0,0,0
ENSG00000275767,0,0,0,0
ENSG00000230748,0,0,0,0
ENSG00000238108,0,0,0,0
ENSG00000287472,0,0,0,0
ENSG00000241318,80,84,105,58
ENSG00000228238,4,4,2,2
ENSG00000232393,49,33,78,46
ENSG00000184155,0,0,0,0
ENSG00000232917,21,11,33,16
ENSG00000233057,16,13,8,2
ENSG00000224691,1,2,2,2
ENSG00000233626,0,0,4,0
ENSG00000231714,0,0,0,0
ENSG00000285638,0,0,0,0
ENSG00000230987,11,9,4,9
ENSG00000228167,0,0,0,0
ENSG00000150732,0,0,0,0
ENSG00000288139,0,0,0,0
ENSG00000238051,0,0,0,0
ENSG00000233196,4,2,4,2
ENSG00000229220,0,0,0,0
ENSG00000227747,0,0,0,0
ENSG00000228081,0,0,0,0
ENSG00000228020,0,0,0,0
ENSG00000234975,14791,14359,20813,14303
ENSG00000271427,15,8,15,10
ENSG00000230777,1788,1538,1088,646
ENSG00000224540,44,44,32,30
ENSG00000229067,2,1,1,1
ENSG00000261182,0,0,0,0
ENSG00000225712,17,24,31,9
ENSG00000274702,0,0,0,0
ENSG00000226211,0,0,0,0
ENSG00000225172,0,1,0,0
ENSG00000261642,0,0,0,0
ENSG00000228239,0,0,0,0
ENSG00000237283,0,0,0,0
ENSG00000234984,0,0,0,0
ENSG00000229983,0,0,0,0
ENSG00000225122,0,0,0,0
ENSG00000225920,8,18,32,15
ENSG00000285718,0,0,0,0
ENSG00000233018,0,0,0,0
ENSG00000224783,0,0,0,0
ENSG00000268062,5,3,7,5
ENSG00000229757,0,0,0,0
ENSG00000220749,29,35,24,12
ENSG00000223842,3,3,3,5
ENSG00000237193,0,0,0,0
ENSG00000223490,0,0,0,0
ENSG00000232824,0,0,0,0
ENSG00000224702,0,0,0,0
ENSG00000271811,8,12,30,12
ENSG00000224278,0,0,0,0
ENSG00000226486,0,0,0,0
ENSG00000227687,0,0,0,0
ENSG00000231814,0,0,0,0
ENSG00000277007,18,11,16,14
ENSG00000229016,0,0,0,0
ENSG00000225006,0,0,0,0
ENSG00000223375,2,0,0,0
ENSG00000230714,0,0,0,0
ENSG00000282852,0,0,0,0
ENSG00000232100,0,0,0,0
ENSG00000230547,0,0,0,0
ENSG00000232215,0,0,0,0
ENSG00000278180,0,0,0,0
ENSG00000232341,195,207,122,91
ENSG00000287676,8,0,7,4
ENSG00000236792,105,105,99,62
ENSG00000270859,0,0,0,0
ENSG00000238224,0,0,0,0
ENSG00000237492,0,0,0,0
ENSG00000250762,3,6,2,7
ENSG00000235083,0,0,0,0
ENSG00000225904,0,0,0,0
ENSG00000238054,0,0,0,0
ENSG00000281453,0,0,0,0
ENSG00000237469,0,0,0,0
ENSG00000227613,0,0,0,0
ENSG00000231612,0,0,9,0
ENSG00000271036,0,0,0,0
ENSG00000226868,0,0,0,0
ENSG00000279401,0,0,0,0
ENSG00000287450,0,0,0,1
ENSG00000237011,0,0,0,0
ENSG00000225811,0,0,0,0
ENSG00000273093,0,0,0,0
ENSG00000226750,1,1,1,0
ENSG00000285665,0,0,0,0
ENSG00000231022,0,0,0,0
ENSG00000224436,0,0,0,0
ENSG00000234915,0,0,0,0
ENSG00000227585,0,0,0,0
ENSG00000157060,0,1,0,0
ENSG00000237213,0,0,0,0
ENSG00000213045,0,0,0,0
ENSG00000230063,1,0,0,0
ENSG00000235467,0,0,0,0
ENSG00000225338,9,15,29,14
ENSG00000224407,0,0,0,0
ENSG00000232463,0,0,0,0
ENSG00000225171,0,0,1,0
ENSG00000213690,0,0,1,0
ENSG00000229832,0,0,0,0
ENSG00000237514,16,5,9,3
ENSG00000287856,0,0,0,0
ENSG00000224040,79,59,137,53
ENSG00000228686,0,0,0,0
ENSG00000236401,0,0,0,0
ENSG00000215800,0,0,0,0
ENSG00000270936,0,0,0,0
ENSG00000241505,0,0,0,0
ENSG00000261453,0,0,0,0
ENSG00000231020,0,0,0,0
ENSG00000270818,0,0,0,0
ENSG00000225561,0,0,0,0
ENSG00000223847,0,0,0,0
ENSG00000277704,0,0,0,0
ENSG00000240963,0,0,0,0
ENSG00000226570,0,0,2,0
ENSG00000236905,0,1,0,0
ENSG00000227887,0,2,0,0
ENSG00000116903,688,628,736,467
ENSG00000226196,0,0,0,0
ENSG00000287354,0,0,0,0
ENSG00000233827,2,1,1,0
ENSG00000235182,0,0,0,0
ENSG00000287157,0,0,0,0
ENSG00000225755,0,0,0,0
ENSG00000230184,0,0,0,0
ENSG00000232436,0,0,0,0
ENSG00000236317,0,0,1,0
ENSG00000176855,0,0,0,0
ENSG00000225401,0,0,0,0
ENSG00000228190,0,0,0,0
ENSG00000135747,0,0,0,0
ENSG00000253148,0,0,0,0
ENSG00000227751,0,0,0,0
ENSG00000236468,2,1,0,0
ENSG00000236101,0,0,0,0
ENSG00000278684,0,0,0,0
ENSG00000236775,0,0,0,0
ENSG00000228646,0,0,0,0
ENSG00000233332,0,0,0,0
ENSG00000231984,0,0,0,0
ENSG00000226693,0,0,0,0
ENSG00000231272,0,0,0,0
ENSG00000223828,16,15,12,8
ENSG00000226723,291,333,323,187
ENSG00000272672,0,0,0,2
ENSG00000235096,0,0,0,0
ENSG00000225222,0,0,0,0
ENSG00000286619,0,4,8,0
ENSG00000227554,0,1,0,0
ENSG00000178596,0,0,0,0
ENSG00000229663,11,16,17,13
ENSG00000228530,0,0,0,0
ENSG00000287921,0,0,0,0
ENSG00000232166,0,0,0,0
ENSG00000231378,0,0,0,0
ENSG00000235605,119,132,161,67
ENSG00000224857,0,0,0,0
ENSG00000273367,0,0,0,0
ENSG00000231605,0,0,0,0
ENSG00000236358,0,0,4,0
ENSG00000203737,0,0,0,0
ENSG00000215873,3,1,3,0
ENSG00000272175,0,0,0,2
ENSG00000213070,85,70,160,50
ENSG00000229747,0,0,0,0
ENSG00000225486,126,104,192,97
ENSG00000213068,0,0,0,0
ENSG00000273198,2,0,0,0
ENSG00000225719,0,0,0,0
ENSG00000273483,9,4,0,3
ENSG00000232809,0,0,0,0
ENSG00000285981,0,0,0,0
ENSG00000215796,5,4,3,1
ENSG00000233047,0,0,0,0
ENSG00000264341,0,0,0,0
ENSG00000264101,0,0,0,0
ENSG00000252404,0,0,0,0
ENSG00000243267,0,0,0,0
ENSG00000252151,0,0,0,0
ENSG00000252969,0,0,0,0
ENSG00000252956,0,0,0,0
ENSG00000284357,0,0,0,0
ENSG00000207941,0,0,0,0
ENSG00000199963,0,0,0,0
ENSG00000264698,0,0,0,0
ENSG00000207328,0,0,0,0
ENSG00000207466,0,0,0,0
ENSG00000252368,0,0,0,0
ENSG00000206779,0,0,0,0
ENSG00000200796,0,0,0,0
ENSG00000283724,0,0,0,0
ENSG00000284410,0,0,0,0
ENSG00000252018,1,0,0,0
ENSG00000206627,0,0,0,2
ENSG00000207508,0,0,0,0
ENSG00000200171,0,0,0,0
ENSG00000207194,0,0,0,0
ENSG00000283477,0,0,0,0
ENSG00000263675,0,0,0,0
ENSG00000238653,0,0,0,0
ENSG00000212624,0,0,0,0
ENSG00000200575,0,0,0,0
ENSG00000212360,0,0,0,0
ENSG00000251825,0,0,0,0
ENSG00000222624,0,0,0,0
ENSG00000223152,0,0,0,0
ENSG00000212308,0,0,0,0
ENSG00000276081,0,0,0,0
ENSG00000239640,0,0,0,0
ENSG00000252338,0,0,0,0
ENSG00000239319,0,0,0,0
ENSG00000251767,0,0,0,0
ENSG00000202263,0,0,0,0
ENSG00000199318,0,0,0,0
ENSG00000199666,0,0,0,0
ENSG00000200601,0,0,0,0
ENSG00000242482,0,0,0,0
ENSG00000201620,0,0,0,0
ENSG00000206817,0,0,0,0
ENSG00000264963,0,0,0,0
ENSG00000198974,0,0,0,0
ENSG00000212248,0,0,0,0
ENSG00000207962,0,0,0,0
ENSG00000202259,0,0,1,0
ENSG00000212459,0,0,0,0
ENSG00000263526,0,0,1,0
ENSG00000211575,1,0,1,2
ENSG00000202254,0,0,0,0
ENSG00000201491,0,0,0,0
ENSG00000275455,0,0,0,0
ENSG00000200800,0,0,0,0
ENSG00000252530,0,0,0,0
ENSG00000200536,0,0,0,0
ENSG00000252797,0,0,0,0
ENSG00000212266,0,0,0,0
ENSG00000222209,0,0,0,0
ENSG00000277141,0,0,0,0
ENSG00000215930,0,0,0,0
ENSG00000238761,0,0,0,0
ENSG00000252005,0,0,0,0
ENSG00000252510,0,0,0,0
ENSG00000252830,0,0,0,0
ENSG00000283296,0,1,2,1
ENSG00000252717,0,0,0,0
ENSG00000277313,0,0,0,0
ENSG00000207472,0,0,0,0
ENSG00000199849,0,0,0,0
ENSG00000212538,0,0,0,0
ENSG00000251813,0,0,0,0
ENSG00000207108,0,0,0,0
ENSG00000202491,0,0,0,0
ENSG00000201596,0,0,0,0
ENSG00000273629,0,0,0,0
ENSG00000201493,0,0,0,0
ENSG00000200139,0,0,0,0
ENSG00000253025,0,0,0,0
ENSG00000201544,0,0,0,1
ENSG00000221545,0,0,0,0
ENSG00000252906,0,0,0,0
ENSG00000202329,0,0,0,0
ENSG00000242794,0,0,0,0
ENSG00000283340,0,0,0,0
ENSG00000252860,0,0,0,0
ENSG00000263390,0,0,0,0
ENSG00000207181,0,0,0,0
ENSG00000264377,0,0,0,0
ENSG00000207149,0,0,0,0
ENSG00000284485,0,0,0,0
ENSG00000239494,4,0,8,2
ENSG00000199442,0,0,0,0
ENSG00000239690,0,0,0,0
ENSG00000202184,0,0,0,0
ENSG00000241395,0,0,0,0
ENSG00000200982,0,0,0,0
ENSG00000222407,0,0,0,0
ENSG00000200495,0,0,0,0
ENSG00000252553,0,0,0,0
ENSG00000222240,0,0,0,0
ENSG00000212187,0,0,0,0
ENSG00000200036,0,0,0,0
ENSG00000212610,0,0,0,0
ENSG00000200327,0,0,0,0
ENSG00000200972,0,0,0,0
ENSG00000212205,0,0,0,0
ENSG00000264358,0,0,0,0
ENSG00000212527,0,0,0,0
ENSG00000252879,0,0,0,0
ENSG00000202264,0,0,0,0
ENSG00000285609,0,0,0,0
ENSG00000252084,0,0,0,0
ENSG00000200085,0,0,0,0
ENSG00000264500,0,0,0,0
ENSG00000202025,0,0,0,0
ENSG00000225545,0,0,0,0
ENSG00000206990,0,0,0,0
ENSG00000230175,0,0,4,0
